timestamp,message
Timestamp,Message
17:24:12,"{""id"": ""7d80e4e0"",""data"": ""ht120av|75,27,7,13,19,205,0.00,""}"
17:25:12,"{""id"": ""7d80e4e0"",""data"": ""ht120av|75,27,23,31,44,186,0.00,""}"
17:26:13,"{""id"": ""7d80e4e0"",""data"": ""ht120av|75,27,23,31,44,206,0.00,""}"
17:27:13,"{""id"": ""7d80e4e0"",""data"": ""ht120av|75,26,23,31,44,182,0.00,""}"
17:28:13,"{""id"": ""7d80e4e0"",""data"": ""ht120av|75,26,465,560,561,229,0.00,""}"
17:29:14,"{""id"": ""7d80e4e0"",""data"": ""ht120av|75,27,465,560,561,207,0.00,""}"
17:30:14,"{""id"": ""7d80e4e0"",""data"": ""ht120av|75,27,465,560,561,205,0.00,""}"
17:31:14,"{""id"": ""7d80e4e0"",""data"": ""ht120av|75,27,8,15,21,183,0.00,""}"
17:32:14,"{""id"": ""7d80e4e0"",""data"": ""ht120av|75,27,8,15,21,205,0.00,""}"
17:33:15,"{""id"": ""7d80e4e0"",""data"": ""ht120av|75,27,8,15,21,205,0.00,""}"
17:34:15,"{""id"": ""7d80e4e0"",""data"": ""ht120av|75,27,23,32,41,205,0.00,""}"
17:35:15,"{""id"": ""7d80e4e0"",""data"": ""ht120av|75,26,23,32,41,183,0.00,""}"
17:36:16,"{""id"": ""7d80e4e0"",""data"": ""ht120av|75,26,23,32,41,205,0.80,""}"
17:37:16,"{""id"": ""7d80e4e0"",""data"": ""ht120av|75,26,15,24,34,182,0.62,""}"
17:38:16,"{""id"": ""7d80e4e0"",""data"": ""ht120av|75,26,15,24,34,205,0.64,""}"
17:39:17,"{""id"": ""7d80e4e0"",""data"": ""ht120av|75,26,15,24,34,205,0.82,""}"
17:40:17,"{""id"": ""7d80e4e0"",""data"": ""ht120av|75,26,111,130,152,181,0.66,""}"
17:41:17,"{""id"": ""7d80e4e0"",""data"": ""ht120av|75,26,111,130,152,182,0.00,""}"
17:42:18,"{""id"": ""7d80e4e0"",""data"": ""ht120av|76,26,111,130,152,273,0.60,""}"
17:43:18,"{""id"": ""7d80e4e0"",""data"": ""ht120av|76,26,17,27,38,229,0.33,""}"
17:44:18,"{""id"": ""7d80e4e0"",""data"": ""ht120av|75,26,17,27,38,228,0.00,""}"
17:45:18,"{""id"": ""7d80e4e0"",""data"": ""ht120av|75,26,17,27,38,228,0.00,""}"
17:46:19,"{""id"": ""7d80e4e0"",""data"": ""ht120av|75,26,21,33,47,273,0.00,""}"
17:47:19,"{""id"": ""7d80e4e0"",""data"": ""ht120av|76,26,21,33,47,228,0.00,""}"
17:48:19,"{""id"": ""7d80e4e0"",""data"": ""ht120av|75,26,21,33,47,182,0.00,""}"
17:49:20,"{""id"": ""7d80e4e0"",""data"": ""ht120av|75,26,9,15,21,205,0.00,""}"
17:50:20,"{""id"": ""7d80e4e0"",""data"": ""ht120av|74,26,9,15,21,205,0.82,""}"
